Year,Mo,Dy,Hr,Name,Latitude,Longitude,magnitude,deaths,location
1904,9,7,,INDONESIA: S. JAVA,-7.7,109,,,INDONESIA
1904,11,1,11,ECUADOR,-1,-80.5,7.7,,ECUADOR
1904,11,5,20,TAIWAN: JIAYI,23.5,120.3,6.3,145,TAIWAN
1904,12,20,5,PANAMA: BOCAS DEL TORO,9.2,-82.8,7.2,,PANAMA
1905,1,20,18,COSTA RICA: PUNTARENAS,9.85,-84.68,6.8,,COSTA RICA
1905,1,22,2,INDONESIA: MINAHASSA PENINSULA,1,123,8.4,,INDONESIA
1905,2,14,8,ALASKA: ANDREANOF ISLANDS,50.73,-178.55,7.9,,ALASKA
1905,3,18,0,KERMADEC ISLANDS,-27.5,-173,7.5,,KERMADEC ISLANDS
1905,3,19,,VANUATU: MALO PASS,-15.6,167.2,,,VANUATU
1905,4,4,0,INDIA: KANGRA,33,76,7.8,19000,INDIA
1905,4,15,,TURKEY,40.2,29,6.5,,TURKEY
1905,4,25,,"IRAN: BANDAR ABBAS,QESHM,HENGAM",26.4,56.3,,,IRAN
1905,5,9,,MEXICO: JALISCO,20.3,-103.4,,,MEXICO
1905,5,18,13,PAPUA NEW GUINEA: BISMARCK SEA,-4,149,7.5,,PAPUA NEW GUINEA
1905,6,1,4,ALBANIA: SHKODER,42.1,19.6,6.6,120,ALBANIA
1905,6,2,5,JAPAN: AKI,34,132,7.8,11,JAPAN
1905,6,30,17,KIRIBATI: PHOENIX ISLANDS,-1,-168,7.6,,KIRIBATI
1905,7,6,16,JAPAN: OFF FUKUSHIMA,37.4,142.6,7,,JAPAN
1905,7,9,9,MONGOLIA,49,99,8.4,,MONGOLIA
1905,7,23,2,MONGOLIA,49,98,8.4,,MONGOLIA
1905,8,26,14,ITALY: CENTRAL,42.1,13.9,,,ITALY
1905,9,1,2,JAPAN: HOKKAIDO,45,143,7.5,,JAPAN
1905,9,8,1,"ITALY: MONTELEONE, TROPEA, MONTE PORO",38.67,16.07,7.1,557,ITALY
1905,9,15,6,RUSSIA: KOMANDORSKY ISLAND,53,164,7.8,,RUSSIA
1905,10,4,22,RUSSIA: BLACK SEA,44.5,37.5,5.1,,RUSSIA
1905,10,8,7,BULGARIA,42,23,6.4,,BULGARIA
1905,10,21,11,GEORGIA: CAUCASUS,42,42,7.5,,GEORGIA
1905,11,8,3,CHINA: SICHUAN PROVINCE,29.3,104.8,5,13,CHINA
1905,11,8,21,GREECE: AEGEAN SEA,40.25,24.2,7.8,,GREECE
1905,11,22,,VANUATU: PORT VILA,-17.7,168.3,,,VANUATU
1905,11,24,,VANUATU: PORT VILA,-17.7,168.3,,,VANUATU
1905,12,4,7,"TURKEY: PUTURGE,CELIKHAN,RUMKALE",38.1,38.6,6.8,,TURKEY
1905,12,8,8,PHILIPPINES: W. LUZON ISLAND: TUBURAN,11,123.5,6.5,,PHILIPPINES
1905,,,,SYRIA: RASUM-KALE (NEAR HALAB): LEBANON: BAYRONT,36.1,37.1,,,SYRIA
1905,,,,TUNISIA: BIZERTE,37.3,9.9,,,TUNISIA
1906,1,7,,CHINA: YUNNAN PROVINCE,26.6,104.1,5.5,,CHINA
1906,1,21,13,JAPAN: NEAR S COAST HONSHU,34,138,8.4,,JAPAN
1906,1,31,5,VENEZUELA: CARACAS,10.5,-66.917,,,VENEZUELA
1906,1,31,15,ECUADOR: OFF COAST,1,-81.5,8.6,1000,ECUADOR
1906,2,3,,COLOMBIA,3.5,-76.2,7.7,,COLOMBIA
1906,2,7,,COLOMBIA-ECUADOR,1,-81,,,COLOMBIA-ECUADOR
1906,2,16,,SAINT LUCIA: CASTRIES,14,-61,,,SAINT LUCIA
1906,2,21,,COLOMBIA: BUENAVENTURA,3.9,-77.033,,,COLOMBIA
1906,3,1,17,ALBANIA: ELBASAN,41.1,20,6.5,,ALBANIA
1906,3,16,22,TAIWAN: JIAYI,23.6,120.5,6.8,1258,TAIWAN
1906,3,28,,CHINA: FUJIAN PROVINCE,24.5,118.5,6.5,,CHINA
1906,4,10,21,MEXICO: REVILLA GIGEDO ISLANDS,19,-113.8,7.5,,MEXICO
1906,4,13,19,TAIWAN: JIAYI,23.4,120.4,6.5,15,TAIWAN
1906,4,18,13,CALIFORNIA: SAN FRANCISCO,37.67,-122.48,7.9,700,CALIFORNIA
1906,5,7,,CHILE: ARICA: PERU: TACNA,-18.5,-70.3,,,CHILE
1906,5,,,CHINA: YUNNAN PROVINCE,24.6,98.6,5.3,1,CHINA
1906,7,11,,COLOMBIA,4.6,-74,7.7,,COLOMBIA
1906,7,14,10,COLOMBIA,4.6,-74,7.7,,COLOMBIA
1906,8,17,0,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.05,179.69,7.8,,ALASKA
1906,8,17,0,CHILE: SOUTH CENTRAL,-33,-72,8.2,4000,CHILE
1906,8,25,,ETHIOPIA: SHOA,9,38.4,6.8,,ETHIOPIA
1906,9,14,16,PAPUA NEW GUINEA: NEW BRITAIN,-7,149,8,,PAPUA NEW GUINEA
1906,9,17,10,ITALY: SICILY,38,13.7,,,ITALY
1906,9,28,15,ECUADOR,-2,-79,7.9,,ECUADOR
1906,10,2,1,PAPUA NEW GUINEA: BISMARCK SEA,-4,149,7.2,,PAPUA NEW GUINEA
1906,11,19,7,AUSTRALIA: WEST COAST,-22,109,7.8,,AUSTRALIA
1906,11,20,21,"GHANA: HO, AKPAFU, PALIME, MISA, ACCRA: TOGO",6.5,0.3,5,,GHANA
1906,12,3,22,MARTINIQUE,15,-61,7.9,,MARTINIQUE
1906,12,22,18,CHINA: XINJIANG PROVINCE,43.5,85,8.3,280,CHINA
1906,12,23,17,ALASKA: ALEUTIAN ISLANDS,56.85,-153.9,7.6,,ALASKA
1906,12,26,6,PERU: OFF SOUTH COAST,-18,-71,7.9,,PERU
1907,1,4,5,"INDONESIA: NW SUMATRA: GUNUNGSITOLi, BARUS",2,94.5,7.8,,INDONESIA
1907,1,14,21,JAMAICA: KINGSTON,18.2,-76.8,6.5,1000,JAMAICA
1907,2,21,1,ITALY: SICILY,38,13.7,,,ITALY
1907,2,23,20,PERU,-13.2,-75.4,7.6,,PERU
1907,3,29,20,INDONESIA: TALAUD ISLANDS: KARAKELONG ISLAND,3,122,7.3,,INDONESIA
1907,4,15,6,MEXICO: GUERRERO,17,-100,8.3,8,MEXICO
1907,4,18,20,PHILIPPINES: SE LUZON: CAMARINES,14,123,7.6,2,PHILIPPINES
